date,stock_code,open,high,low,close,volume,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
2022-01-04,002130.SZ,8.27,8.39,8.17,8.35,216069.45,179118.8,1.7316,2.2781,0.9,26.5826,19.3698,2.8473,2.5692,2.002,0.359,0.359,125989.8562,124781.5217,94846.4089,1052015.2993,1041925.7062
2022-01-05,002130.SZ,8.29,8.31,8.05,8.07,247643.38,201167.802,1.9846,2.611,1.18,25.6912,18.7202,2.7518,2.483,1.9349,0.3715,0.3715,125989.8562,124781.5217,94846.4089,1016738.1395,1006986.8801
2022-01-06,002130.SZ,8.04,8.17,8.03,8.09,122333.74,98995.114,0.9804,1.2898,0.59,25.7548,18.7666,2.7586,2.4892,1.9397,0.3705,0.3705,125989.8562,124781.5217,94846.4089,1019257.9367,1009482.5106
2022-01-07,002130.SZ,8.12,8.15,7.81,7.81,262017.95,207880.195,2.0998,2.7626,1.37,24.8634,18.1171,2.6631,2.403,1.8726,0.3838,0.3838,125989.8562,124781.5217,94846.4089,983980.7769,974543.6845
2022-01-10,002130.SZ,7.81,7.83,7.57,7.75,148316.23,114432.807,1.1886,1.5638,0.73,24.6724,17.9779,2.6427,2.3846,1.8582,0.3868,0.3868,125989.8562,124781.5217,94846.4089,976421.3856,967056.7932
2022-01-11,002130.SZ,7.78,7.83,7.66,7.68,109900.01,85060.283,0.8807,1.1587,0.55,24.4496,17.8155,2.6188,2.363,1.8414,0.3903,0.3903,125989.8562,124781.5217,94846.4089,967602.0956,958322.0867
2022-01-12,002130.SZ,7.7,7.81,7.7,7.8,113490.95,88029.836,0.9095,1.1966,0.64,24.8316,18.0939,2.6597,2.3999,1.8702,0.3843,0.3843,125989.8562,124781.5217,94846.4089,982720.8784,973295.8693
2022-01-13,002130.SZ,7.8,7.81,7.66,7.68,101882.02,78709.461,0.8165,1.0742,0.67,24.4496,17.8155,2.6188,2.363,1.8414,0.3903,0.3903,125989.8562,124781.5217,94846.4089,967602.0956,958322.0867
2022-01-14,002130.SZ,7.67,7.75,7.6,7.75,110546.2,84851.49,0.8859,1.1655,0.75,24.6724,17.9779,2.6427,2.3846,1.8582,0.3868,0.3868,125989.8562,124781.5217,94846.4089,976421.3856,967056.7932
2022-01-17,002130.SZ,7.68,7.88,7.67,7.87,107239.54,84084.082,0.8594,1.1307,0.92,25.0545,18.2563,2.6836,2.4215,1.887,0.3809,0.3809,125989.8562,124781.5217,94846.4089,991540.1683,982030.5758
2022-01-18,002130.SZ,7.85,7.85,7.75,7.8,104789.31,81725.658,0.8398,1.1048,0.96,24.8316,18.0939,2.6597,2.3999,1.8702,0.3843,0.3843,125989.8562,124781.5217,94846.4089,982720.8784,973295.8693
2022-01-19,002130.SZ,7.78,7.79,7.57,7.64,118959.31,91147.614,0.9533,1.2542,1.11,24.3222,17.7227,2.6052,2.3507,1.8318,0.3924,0.3924,125989.8562,124781.5217,94846.4089,962562.5014,953330.8258
2022-01-20,002130.SZ,7.6,7.69,7.33,7.41,154519.38,115581.373,1.2383,1.6292,1.42,23.59,17.1892,2.5267,2.2799,1.7767,0.4045,0.4045,125989.8562,124781.5217,94846.4089,933584.8344,924631.0758
2022-01-21,002130.SZ,7.42,7.45,7.28,7.43,119731.15,88313.78,0.9595,1.2624,1.0,23.6537,17.2356,2.5335,2.2861,1.7815,0.4035,0.4035,125989.8562,124781.5217,94846.4089,936104.6316,927126.7062
2022-01-24,002130.SZ,7.41,7.47,7.34,7.43,71085.4,52548.573,0.5697,0.7495,0.59,23.6537,17.2356,2.5335,2.2861,1.7815,0.4035,0.4035,125989.8562,124781.5217,94846.4089,936104.6316,927126.7062
2022-01-25,002130.SZ,7.41,7.41,7.05,7.06,133379.18,96144.272,1.0689,1.4063,1.17,22.4758,16.3773,2.4074,2.1723,1.6927,0.4246,0.4246,125989.8562,124781.5217,94846.4089,889488.3848,880957.5432
2022-01-26,002130.SZ,7.06,7.17,7.0,7.08,94520.62,66856.58,0.7575,0.9966,0.79,22.5395,16.4237,2.4142,2.1784,1.6975,0.4234,0.4234,125989.8562,124781.5217,94846.4089,892008.1819,883453.1736
2022-01-27,002130.SZ,7.07,7.08,6.81,6.9,181574.43,125774.615,1.4551,1.9144,1.58,21.9664,16.0061,2.3528,2.123,1.6544,0.4344,0.4344,125989.8562,124781.5217,94846.4089,869330.0078,860992.4997
2022-01-28,002130.SZ,6.95,6.97,6.7,6.97,170003.3,116320.123,1.3624,1.7924,1.42,22.1893,16.1685,2.3767,2.1446,1.6712,0.4301,0.4301,125989.8562,124781.5217,94846.4089,878149.2977,869727.2062
2022-02-07,002130.SZ,6.98,7.17,6.98,7.03,203268.04,143562.427,1.629,2.1431,1.56,22.3803,16.3077,2.3972,2.163,1.6856,0.4264,0.4264,125989.8562,124781.5217,94846.4089,885708.6891,877214.0976
2022-02-08,002130.SZ,7.06,7.14,6.98,7.13,114580.32,80837.92,0.9182,1.2081,0.73,22.6986,16.5397,2.4313,2.1938,1.7095,0.4204,0.4204,125989.8562,124781.5217,94846.4089,898307.6747,889692.2497
2022-02-09,002130.SZ,7.12,7.27,7.08,7.25,115903.14,83579.729,0.9288,1.222,0.76,23.0807,16.8181,2.4722,2.2307,1.7383,0.4135,0.4135,125989.8562,124781.5217,94846.4089,913426.4575,904666.0323
2022-02-10,002130.SZ,7.23,7.26,7.13,7.16,108929.34,78165.617,0.873,1.1485,0.69,22.7941,16.6093,2.4415,2.203,1.7167,0.4187,0.4187,125989.8562,124781.5217,94846.4089,902087.3704,893435.6954
2022-02-11,002130.SZ,7.13,7.14,6.98,7.0,101104.78,71272.841,0.8103,1.066,0.71,22.2848,16.2381,2.3869,2.1538,1.6784,0.4282,0.4282,125989.8562,124781.5217,94846.4089,881928.9934,873470.6519
2022-02-14,002130.SZ,6.95,7.08,6.91,6.96,83390.72,58380.055,0.6683,0.8792,0.65,22.1574,16.1453,2.3733,2.1415,1.6688,0.4307,0.4307,125989.8562,124781.5217,94846.4089,876889.3992,868479.391
2022-02-15,002130.SZ,6.99,7.04,6.94,7.02,77894.29,54618.805,0.6242,0.8213,0.74,22.3484,16.2845,2.3937,2.1599,1.6832,0.427,0.427,125989.8562,124781.5217,94846.4089,884448.7905,875966.2823
2022-02-16,002130.SZ,7.07,7.13,7.05,7.11,76795.0,54540.097,0.6154,0.8097,0.79,22.635,16.4933,2.4244,2.1876,1.7047,0.4216,0.4216,125989.8562,124781.5217,94846.4089,895787.8776,887196.6193
